Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area_encoded,Item_encoded
Albania,Wheat,2002,31617,1485,691.75,16.47,0,6
Albania,Maize,2004,46197,1485,817.68,16.16,0,1
Albania,Potatoes,2004,149346,1485,817.68,16.16,0,2
Albania,Soybeans,2004,13333,1485,817.68,16.16,0,4
Albania,Wheat,2004,31130,1485,817.68,16.16,0,6
Albania,Maize,2005,45442,1485,880.64,15.67,0,1
Albania,Potatoes,2005,167061,1485,880.64,15.67,0,2
Albania,Soybeans,2005,17500,1485,880.64,15.67,0,4
Albania,Wheat,2005,31582,1485,880.64,15.67,0,6
Albania,Maize,2006,50111,1485,943.61,15.92,0,1
Albania,Potatoes,2006,170745,1485,943.61,15.92,0,2
Albania,Soybeans,2006,20000,1485,943.61,15.92,0,4
Albania,Wheat,2006,30787,1485,943.61,15.92,0,6
Albania,Maize,2007,46732,1485,1006.57,16.67,0,1
Albania,Potatoes,2007,188902,1485,1006.57,16.67,0,2
Albania,Soybeans,2007,20000,1485,1006.57,16.67,0,4
Albania,Wheat,2007,35496,1485,1006.57,16.67,0,6
Albania,Maize,2008,50000,1485,1069.54,16.71,0,1
Albania,Potatoes,2008,193878,1485,1069.54,16.71,0,2
Albania,Soybeans,2008,20000,1485,1069.54,16.71,0,4
Albania,Wheat,2008,40168,1485,1069.54,16.71,0,6
Albania,Maize,2009,55693,1485,1132.5,16.73,0,1
Albania,Potatoes,2009,219780,1485,1132.5,16.73,0,2
Albania,Soybeans,2009,16667,1485,1132.5,16.73,0,4
Albania,Wheat,2009,40229,1485,1132.5,16.73,0,6
Albania,Maize,2010,66790,1485,1311.17,16.52,0,1
Albania,Potatoes,2010,231111,1485,1311.17,16.52,0,2
Albania,Soybeans,2010,16667,1485,1311.17,16.52,0,4
Albania,Wheat,2010,39905,1485,1311.17,16.52,0,6
Albania,Maize,2011,59869,1485,1302.63,16.45,0,1
Albania,Potatoes,2011,242211,1485,1302.63,16.45,0,2
Albania,Soybeans,2011,18519,1485,1302.63,16.45,0,4
Albania,Wheat,2011,42301,1485,1302.63,16.45,0,6
Albania,Maize,2012,67290,1485,766.25,16.7,0,1
Albania,Potatoes,2012,250538,1485,766.25,16.7,0,2
Albania,Soybeans,2012,13333,1485,766.25,16.7,0,4
Albania,Wheat,2012,41096,1485,766.25,16.7,0,6
Albania,Maize,2013,69533,1485,982.32,17.41,0,1
Albania,Potatoes,2013,260110,1485,982.32,17.41,0,2
Albania,Soybeans,2013,10000,1485,982.32,17.41,0,4
Albania,Wheat,2013,41292,1485,982.32,17.41,0,6
Algeria,Maize,1990,16500,89,1828.92,17.48,1,1
Algeria,Potatoes,1990,78936,89,1828.92,17.48,1,2
Algeria,Sorghum,1990,16571,89,1828.92,17.48,1,3
Algeria,Wheat,1990,6315,89,1828.92,17.48,1,6
Algeria,Maize,1991,19231,89,2461.8,16.26,1,1
Algeria,Potatoes,1991,90747,89,2461.8,16.26,1,2
Algeria,Sorghum,1991,24231,89,2461.8,16.26,1,3
Algeria,Wheat,1991,10809,89,2461.8,16.26,1,6
Algeria,Maize,1992,22828,89,1215.47,16.27,1,1
Algeria,Potatoes,1992,107917,89,1215.47,16.27,1,2
Algeria,Sorghum,1992,40000,89,1215.47,16.27,1,3
Algeria,Wheat,1992,9939,89,1215.47,16.27,1,6
Algeria,Maize,1993,12500,89,1021.89,17,1,1
Algeria,Potatoes,1993,111215,89,1021.89,17,1,2
Algeria,Sorghum,1993,50000,89,1021.89,17,1,3
Algeria,Wheat,1993,8097,89,1021.89,17,1,6
Algeria,Maize,1994,4512,89,1255.02,17.88,1,1
Algeria,Potatoes,1994,95078,89,1255.02,17.88,1,2
Algeria,Wheat,1994,7999,89,1255.02,17.88,1,6
Algeria,Maize,1995,16115,89,2697.09,17.36,1,1
Algeria,Potatoes,1995,136768,89,2697.09,17.36,1,2
Algeria,Sorghum,1995,12667,89,2697.09,17.36,1,3
Algeria,Wheat,1995,8924,89,2697.09,17.36,1,6
Algeria,Maize,1996,17154,89,479.77,16.76,1,1
Algeria,Potatoes,1996,134629,89,479.77,16.76,1,2
Algeria,Sorghum,1996,14750,89,479.77,16.76,1,3
Algeria,Wheat,1996,13090,89,479.77,16.76,1,6
Algeria,Maize,1997,21417,89,401.22,17.84,1,1
Algeria,Potatoes,1997,141042,89,401.22,17.84,1,2
Algeria,Sorghum,1997,40000,89,401.22,17.84,1,3
Algeria,Wheat,1997,8016,89,401.22,17.84,1,6
Algeria,Maize,1998,17222,89,322.84,17.14,1,1
Algeria,Potatoes,1998,160256,89,322.84,17.14,1,2
Algeria,Sorghum,1998,24500,89,322.84,17.14,1,3
Algeria,Wheat,1998,8847,89,322.84,17.14,1,6
Algeria,Maize,1999,22375,89,654.45,17.97,1,1
Algeria,Potatoes,1999,153532,89,654.45,17.97,1,2
Algeria,Sorghum,1999,27000,89,654.45,17.97,1,3
Algeria,Wheat,1999,10711,89,654.45,17.97,1,6
Algeria,Maize,2000,36186,89,603.67,17.9,1,1
Algeria,Potatoes,2000,166143,89,603.67,17.9,1,2
Algeria,Sorghum,2000,69500,89,603.67,17.9,1,3
Algeria,Wheat,2000,9194,89,603.67,17.9,1,6
Algeria,Maize,2001,27175,89,710.11,18.13,1,1
Algeria,Potatoes,2001,147018,89,710.11,18.13,1,2
Algeria,Sorghum,2001,27750,89,710.11,18.13,1,3
Algeria,Wheat,2001,11104,89,710.11,18.13,1,6
Algeria,Maize,2002,33480,89,816.55,17.85,1,1
Algeria,Potatoes,2002,183774,89,816.55,17.85,1,2
Algeria,Sorghum,2002,33900,89,816.55,17.85,1,3
Algeria,Wheat,2002,10739,89,816.55,17.85,1,6
Algeria,Maize,2004,31729,89,3747.86,17.38,1,1
Algeria,Potatoes,2004,203585,89,3747.86,17.38,1,2
Algeria,Sorghum,2004,43316,89,3747.86,17.38,1,3
Algeria,Wheat,2004,13582,89,3747.86,17.38,1,6
Algeria,Maize,2005,33864,89,3662.87,17.19,1,1
Algeria,Potatoes,2005,216267,89,3662.87,17.19,1,2
Algeria,Sorghum,2005,33486,89,3662.87,17.19,1,3
Algeria,Wheat,2005,15057,89,3662.87,17.19,1,6
Algeria,Maize,2006,65668,89,4110.72,18.13,1,1
Algeria,Potatoes,2006,220689,89,4110.72,18.13,1,2
Algeria,Sorghum,2006,56728,89,4110.72,18.13,1,3
Algeria,Wheat,2006,15068,89,4110.72,18.13,1,6
Algeria,Maize,2007,85625,89,5390.79,17.42,1,1
Algeria,Potatoes,2007,189927,89,5390.79,17.42,1,2
Algeria,Sorghum,2007,119059,89,5390.79,17.42,1,3
Algeria,Wheat,2007,12742,89,5390.79,17.42,1,6
Algeria,Maize,2008,44714,89,11556.12,17.55,1,1
Algeria,Potatoes,2008,236393,89,11556.12,17.55,1,2
Algeria,Sorghum,2008,61786,89,11556.12,17.55,1,3
Algeria,Wheat,2008,11038,89,11556.12,17.55,1,6
Algeria,Maize,2009,30914,89,3867.99,17.78,1,1
Algeria,Potatoes,2009,250764,89,3867.99,17.78,1,2
Algeria,Sorghum,2009,90465,89,3867.99,17.78,1,3
Algeria,Wheat,2009,15975,89,3867.99,17.78,1,6
Algeria,Maize,2010,25827,89,1295.88,17.59,1,1
Algeria,Potatoes,2010,270526,89,1295.88,17.59,1,2
Algeria,Sorghum,2010,30286,89,1295.88,17.59,1,3
Algeria,Wheat,2010,14838,89,1295.88,17.59,1,6
Algeria,Maize,2011,23374,89,13861.76,17.79,1,1
Algeria,Potatoes,2011,292806,89,13861.76,17.79,1,2
Algeria,Sorghum,2011,100000,89,13861.76,17.79,1,3
Algeria,Wheat,2011,17405,89,13861.76,17.79,1,6
Algeria,Maize,2012,25583,89,17379.76,17.91,1,1
Algeria,Potatoes,2012,304291,89,17379.76,17.91,1,2
Algeria,Sorghum,2012,206000,89,17379.76,17.91,1,3
Algeria,Wheat,2012,17639,89,17379.76,17.91,1,6
Algeria,Maize,2013,33649,89,17278.65,17.65,1,1
Algeria,Potatoes,2013,303218,89,17278.65,17.65,1,2
Algeria,Sorghum,2013,60000,89,17278.65,17.65,1,3
Algeria,Wheat,2013,19100,89,17278.65,17.65,1,6
Angola,Cassava,1990,41177,1010,64,24.12,2,0
Angola,Maize,1990,2736,1010,64,24.12,2,1
Angola,Potatoes,1990,40000,1010,64,24.12,2,2
Angola,Sweet potatoes,1990,89342,1010,64,24.12,2,5
Angola,Wheat,1990,7995,1010,64,24.12,2,6
Angola,Cassava,1991,40295,1010,79,24.02,2,0
Angola,Maize,1991,4013,1010,79,24.02,2,1
Angola,Potatoes,1991,40000,1010,79,24.02,2,2
Angola,Sweet potatoes,1991,83001,1010,79,24.02,2,5
Angola,Wheat,1991,8000,1010,79,24.02,2,6
Angola,Cassava,1992,42295,1010,23,23.96,2,0
Angola,Maize,1992,3778,1010,23,23.96,2,1
Angola,Potatoes,1992,40000,1010,23,23.96,2,2
Angola,Sweet potatoes,1992,90000,1010,23,23.96,2,5
Angola,Wheat,1992,8000,1010,23,23.96,2,6
Angola,Cassava,1993,42295,1010,169,24.15,2,0
Angola,Maize,1993,2627,1010,169,24.15,2,1
Angola,Potatoes,1993,70000,1010,169,24.15,2,2
Angola,Sweet potatoes,1993,88095,1010,169,24.15,2,5
Angola,Wheat,1993,8876,1010,169,24.15,2,6
Angola,Cassava,1994,58596,1010,25.5,24.04,2,0
Angola,Maize,1994,2463,1010,25.5,24.04,2,1
Angola,Potatoes,1994,90000,1010,25.5,24.04,2,2
Angola,Sweet potatoes,1994,83192,1010,25.5,24.04,2,5
Angola,Wheat,1994,10000,1010,25.5,24.04,2,6
Angola,Cassava,1995,51000,1010,336,24.56,2,0
Angola,Maize,1995,3517,1010,336,24.56,2,1
Angola,Potatoes,1995,76738,1010,336,24.56,2,2
Angola,Sweet potatoes,1995,81138,1010,336,24.56,2,5
Angola,Wheat,1995,11855,1010,336,24.56,2,6
Angola,Cassava,1996,48077,1010,40,24.11,2,0
Angola,Maize,1996,6993,1010,40,24.11,2,1
Angola,Potatoes,1996,70000,1010,40,24.11,2,2
Angola,Sweet potatoes,1996,85455,1010,40,24.11,2,5
Angola,Wheat,1996,13738,1010,40,24.11,2,6
Angola,Cassava,1997,44205,1010,40,24.06,2,0
Angola,Maize,1997,5959,1010,40,24.06,2,1
Angola,Potatoes,1997,68571,1010,40,24.06,2,2
Angola,Sweet potatoes,1997,78098,1010,40,24.06,2,5
Angola,Wheat,1997,15509,1010,40,24.06,2,6
Angola,Cassava,1998,55728,1010,40,24.96,2,0
Angola,Maize,1998,7396,1010,40,24.96,2,1
Angola,Potatoes,1998,62724,1010,40,24.96,2,2
Angola,Sweet potatoes,1998,76256,1010,40,24.96,2,5
Angola,Wheat,1998,17143,1010,40,24.96,2,6
Angola,Cassava,1999,59821,1010,40,24.37,2,0
Angola,Maize,1999,6361,1010,40,24.37,2,1
Angola,Potatoes,1999,54597,1010,40,24.37,2,2
Angola,Sweet potatoes,1999,82865,1010,40,24.37,2,5
Angola,Wheat,1999,17391,1010,40,24.37,2,6
Angola,Cassava,2000,82992,1010,40,24.41,2,0
Angola,Maize,2000,5745,1010,40,24.41,2,1
Angola,Potatoes,2000,29885,1010,40,24.41,2,2
Angola,Sorghum,2000,3333,1010,40,24.41,2,3
Angola,Soybeans,2000,2333,1010,40,24.41,2,4
Angola,Sweet potatoes,2000,34938,1010,40,24.41,2,5
Angola,Wheat,2000,17023,1010,40,24.41,2,6
Angola,Cassava,2001,94072,1010,40,24.43,2,0
Angola,Maize,2001,5754,1010,40,24.43,2,1
Angola,Potatoes,2001,42552,1010,40,24.43,2,2
Angola,Sorghum,2001,3571,1010,40,24.43,2,3
Angola,Soybeans,2001,2500,1010,40,24.43,2,4
Angola,Sweet potatoes,2001,44458,1010,40,24.43,2,5
Angola,Wheat,2001,16667,1010,40,24.43,2,6
Angola,Cassava,2002,110071,1010,40,24.79,2,0
Angola,Maize,2002,6706,1010,40,24.79,2,1
Angola,Potatoes,2002,42754,1010,40,24.79,2,2
Angola,Sorghum,2002,3400,1010,40,24.79,2,3
Angola,Soybeans,2002,2857,1010,40,24.79,2,4
Angola,Sweet potatoes,2002,42190,1010,40,24.79,2,5
Angola,Wheat,2002,15455,1010,40,24.79,2,6
Angola,Cassava,2004,125605,1010,40,24.22,2,0
Angola,Maize,2004,5404,1010,40,24.22,2,1
Angola,Potatoes,2004,20150,1010,40,24.22,2,2
Angola,Sorghum,2004,3333,1010,40,24.22,2,3
Angola,Soybeans,2004,3600,1010,40,24.22,2,4
Angola,Sweet potatoes,2004,45360,1010,40,24.22,2,5
Angola,Wheat,2004,12442,1010,40,24.22,2,6
Angola,Cassava,2005,117628,1010,40,24.41,2,0
Angola,Maize,2005,6736,1010,40,24.41,2,1
Angola,Potatoes,2005,23646,1010,40,24.41,2,2
Angola,Sorghum,2005,3333,1010,40,24.41,2,3
Angola,Soybeans,2005,3793,1010,40,24.41,2,4
Angola,Sweet potatoes,2005,46159,1010,40,24.41,2,5
Angola,Wheat,2005,10946,1010,40,24.41,2,6
Angola,Cassava,2006,117201,1010,40,24.14,2,0
Angola,Maize,2006,4687,1010,40,24.14,2,1
Angola,Potatoes,2006,52148,1010,40,24.14,2,2
Angola,Sorghum,2006,4091,1010,40,24.14,2,3
Angola,Soybeans,2006,4286,1010,40,24.14,2,4
Angola,Sweet potatoes,2006,44240,1010,40,24.14,2,5
Angola,Wheat,2006,10000,1010,40,24.14,2,6
Angola,Cassava,2007,115387,1010,40,24.24,2,0
Angola,Maize,2007,5091,1010,40,24.24,2,1
Angola,Potatoes,2007,62138,1010,40,24.24,2,2
Angola,Sorghum,2007,4031,1010,40,24.24,2,3
Angola,Soybeans,2007,6883,1010,40,24.24,2,4
Angola,Sweet potatoes,2007,58855,1010,40,24.24,2,5
Angola,Wheat,2007,10000,1010,40,24.24,2,6
Angola,Cassava,2008,148084,1010,40,24.27,2,0
Angola,Maize,2008,7946,1010,40,24.27,2,1
Angola,Potatoes,2008,85085,1010,40,24.27,2,2
Angola,Sorghum,2008,929,1010,40,24.27,2,3
Angola,Soybeans,2008,8575,1010,40,24.27,2,4
Angola,Sweet potatoes,2008,65437,1010,40,24.27,2,5
Angola,Wheat,2008,10000,1010,40,24.27,2,6
Angola,Cassava,2009,151759,1010,40,24.33,2,0
Angola,Maize,2009,6614,1010,40,24.33,2,1
Angola,Potatoes,2009,86509,1010,40,24.33,2,2
Angola,Sorghum,2009,2480,1010,40,24.33,2,3
Angola,Soybeans,2009,4449,1010,40,24.33,2,4
Angola,Sweet potatoes,2009,66475,1010,40,24.33,2,5
Angola,Wheat,2009,10000,1010,40,24.33,2,6
Angola,Cassava,2010,155782,1010,40,24.44,2,0
Angola,Maize,2010,7200,1010,40,24.44,2,1
Angola,Potatoes,2010,87425,1010,40,24.44,2,2
Angola,Sorghum,2010,2814,1010,40,24.44,2,3
Angola,Soybeans,2010,4446,1010,40,24.44,2,4
Angola,Sweet potatoes,2010,63001,1010,40,24.44,2,5
Angola,Wheat,2010,10526,1010,40,24.44,2,6
Angola,Cassava,2011,133649,1010,40,24.15,2,0
Angola,Maize,2011,7376,1010,40,24.15,2,1
Angola,Potatoes,2011,81366,1010,40,24.15,2,2
Angola,Sorghum,2011,3320,1010,40,24.15,2,3
Angola,Soybeans,2011,5294,1010,40,24.15,2,4
Angola,Sweet potatoes,2011,65512,1010,40,24.15,2,5
Angola,Wheat,2011,10959,1010,40,24.15,2,6
Angola,Cassava,2012,100073,1010,40,24.24,2,0
Angola,Maize,2012,7770,1010,40,24.24,2,1
Angola,Potatoes,2012,69381,1010,40,24.24,2,2
Angola,Sorghum,2012,998,1010,40,24.24,2,3
Angola,Soybeans,2012,1641,1010,40,24.24,2,4
Angola,Sweet potatoes,2012,52954,1010,40,24.24,2,5
Angola,Wheat,2012,11258,1010,40,24.24,2,6
Angola,Cassava,2013,140517,1010,40,24.55,2,0
Angola,Maize,2013,9467,1010,40,24.55,2,1
Angola,Potatoes,2013,63303,1010,40,24.55,2,2
Angola,Sorghum,2013,2415,1010,40,24.55,2,3
Angola,Soybeans,2013,4405,1010,40,24.55,2,4
Angola,Sweet potatoes,2013,73409,1010,40,24.55,2,5
Angola,Wheat,2013,9022,1010,40,24.55,2,6
Argentina,Cassava,1990,100000,591,26156,17.46,3,0
Argentina,Cassava,1990,100000,591,26156,17.67,3,0
Argentina,Maize,1990,34608,591,26156,17.46,3,1
Argentina,Maize,1990,34608,591,26156,17.67,3,1
Argentina,Potatoes,1990,202747,591,26156,17.46,3,2
Argentina,Potatoes,1990,202747,591,26156,17.67,3,2
Argentina,Sorghum,1990,28116,591,26156,17.46,3,3
Argentina,Sorghum,1990,28116,591,26156,17.67,3,3
Argentina,Soybeans,1990,21566,591,26156,17.46,3,4
Argentina,Soybeans,1990,21566,591,26156,17.67,3,4
Argentina,Sweet potatoes,1990,131864,591,26156,17.46,3,5
Argentina,Sweet potatoes,1990,131864,591,26156,17.67,3,5
Argentina,Wheat,1990,18947,591,26156,17.46,3,6
Argentina,Wheat,1990,18947,591,26156,17.67,3,6
Argentina,Cassava,1991,100000,591,26156,17.64,3,0
Argentina,Cassava,1991,100000,591,26156,17.86,3,0
Argentina,Maize,1991,40444,591,26156,17.64,3,1
Argentina,Maize,1991,40444,591,26156,17.86,3,1
Argentina,Potatoes,1991,205692,591,26156,17.64,3,2
Argentina,Potatoes,1991,205692,591,26156,17.86,3,2
Argentina,Sorghum,1991,33320,591,26156,17.64,3,3
Argentina,Sorghum,1991,33320,591,26156,17.86,3,3
Argentina,Soybeans,1991,22750,591,26156,17.64,3,4
Argentina,Soybeans,1991,22750,591,26156,17.86,3,4
Argentina,Sweet potatoes,1991,131364,591,26156,17.64,3,5
Argentina,Sweet potatoes,1991,131364,591,26156,17.86,3,5
Argentina,Wheat,1991,18972,591,26156,17.64,3,6
Argentina,Wheat,1991,18972,591,26156,17.86,3,6
Argentina,Cassava,1992,100000,591,26156,17.09,3,0
Argentina,Cassava,1992,100000,591,26156,17.51,3,0
Argentina,Maize,1992,45237,591,26156,17.09,3,1
Argentina,Maize,1992,45237,591,26156,17.51,3,1
Argentina,Potatoes,1992,199039,591,26156,17.09,3,2
Argentina,Potatoes,1992,199039,591,26156,17.51,3,2
Argentina,Sorghum,1992,36217,591,26156,17.09,3,3
Argentina,Sorghum,1992,36217,591,26156,17.51,3,3
Argentina,Soybeans,1992,22915,591,26156,17.09,3,4
Argentina,Soybeans,1992,22915,591,26156,17.51,3,4
Argentina,Sweet potatoes,1992,127273,591,26156,17.09,3,5
Argentina,Sweet potatoes,1992,127273,591,26156,17.51,3,5
Argentina,Wheat,1992,21809,591,26156,17.09,3,6
Argentina,Wheat,1992,21809,591,26156,17.51,3,6
Argentina,Cassava,1993,100000,591,26156,17.32,3,0
Argentina,Cassava,1993,100000,591,26156,17.53,3,0
Argentina,Maize,1993,43552,591,26156,17.32,3,1
Argentina,Maize,1993,43552,591,26156,17.53,3,1
Argentina,Potatoes,1993,210314,591,26156,17.32,3,2
Argentina,Potatoes,1993,210314,591,26156,17.53,3,2
Argentina,Sorghum,1993,39529,591,26156,17.32,3,3
Argentina,Sorghum,1993,39529,591,26156,17.53,3,3
Argentina,Soybeans,1993,21589,591,26156,17.32,3,4
Argentina,Soybeans,1993,21589,591,26156,17.53,3,4
Argentina,Sweet potatoes,1993,122955,591,26156,17.32,3,5
Argentina,Sweet potatoes,1993,122955,591,26156,17.53,3,5
Argentina,Wheat,1993,23272,591,26156,17.32,3,6
Argentina,Wheat,1993,23272,591,26156,17.53,3,6
Argentina,Cassava,1994,100000,591,30195,18.17,3,0
Argentina,Cassava,1994,100000,591,30195,18.31,3,0
Argentina,Maize,1994,42371,591,30195,18.17,3,1
Argentina,Maize,1994,42371,591,30195,18.31,3,1
Argentina,Potatoes,1994,230166,591,30195,18.17,3,2
Argentina,Potatoes,1994,230166,591,30195,18.31,3,2
Argentina,Sorghum,1994,35065,591,30195,18.17,3,3
Argentina,Sorghum,1994,35065,591,30195,18.31,3,3
Argentina,Soybeans,1994,20386,591,30195,18.17,3,4
Argentina,Soybeans,1994,20386,591,30195,18.31,3,4
Argentina,Sweet potatoes,1994,176667,591,30195,18.17,3,5
Argentina,Sweet potatoes,1994,176667,591,30195,18.31,3,5
Argentina,Wheat,1994,20237,591,30195,18.17,3,6
Argentina,Wheat,1994,20237,591,30195,18.31,3,6
Argentina,Cassava,1995,100000,591,37842,17.74,3,0
Argentina,Cassava,1995,100000,591,37842,17.62,3,0
Argentina,Maize,1995,45223,591,37842,17.74,3,1
Argentina,Maize,1995,45223,591,37842,17.62,3,1
Argentina,Potatoes,1995,274272,591,37842,17.74,3,2
Argentina,Potatoes,1995,274272,591,37842,17.62,3,2
Argentina,Sorghum,1995,34588,591,37842,17.74,3,3
Argentina,Sorghum,1995,34588,591,37842,17.62,3,3
Argentina,Soybeans,1995,20446,591,37842,17.74,3,4
Argentina,Soybeans,1995,20446,591,37842,17.62,3,4
Argentina,Sweet potatoes,1995,168000,591,37842,17.74,3,5
Argentina,Sweet potatoes,1995,168000,591,37842,17.62,3,5
Argentina,Wheat,1995,21675,591,37842,17.74,3,6
Argentina,Wheat,1995,21675,591,37842,17.62,3,6
Argentina,Cassava,1996,100000,591,54595,17.64,3,0
Argentina,Cassava,1996,100000,591,54595,17.97,3,0
Argentina,Maize,1996,40397,591,54595,17.64,3,1
Argentina,Maize,1996,40397,591,54595,17.97,3,1
Argentina,Potatoes,1996,228877,591,54595,17.64,3,2
Argentina,Potatoes,1996,228877,591,54595,17.97,3,2
Argentina,Sorghum,1996,38763,591,54595,17.64,3,3
Argentina,Sorghum,1996,38763,591,54595,17.97,3,3
Argentina,Soybeans,1996,21051,591,54595,17.64,3,4
Argentina,Soybeans,1996,21051,591,54595,17.97,3,4
Argentina,Sweet potatoes,1996,170000,591,54595,17.64,3,5
Argentina,Sweet potatoes,1996,170000,591,54595,17.97,3,5
Argentina,Wheat,1996,19344,591,54595,17.64,3,6
Argentina,Wheat,1996,19344,591,54595,17.97,3,6
Argentina,Cassava,1997,100000,591,77691,18.29,3,0
Argentina,Cassava,1997,100000,591,77691,18.54,3,0
Argentina,Maize,1997,45557,591,77691,18.29,3,1
Argentina,Maize,1997,45557,591,77691,18.54,3,1
Argentina,Potatoes,1997,268502,591,77691,18.29,3,2
Argentina,Potatoes,1997,268502,591,77691,18.54,3,2
Argentina,Sorghum,1997,36845,591,77691,18.29,3,3
Argentina,Sorghum,1997,36845,591,77691,18.54,3,3
Argentina,Soybeans,1997,17212,591,77691,18.29,3,4
Argentina,Soybeans,1997,17212,591,77691,18.54,3,4
Argentina,Sweet potatoes,1997,145662,591,77691,18.29,3,5
Argentina,Sweet potatoes,1997,145662,591,77691,18.54,3,5
Argentina,Wheat,1997,22426,591,77691,18.29,3,6
Argentina,Wheat,1997,22426,591,77691,18.54,3,6
Argentina,Cassava,1998,100000,591,62397,17.23,3,0
Argentina,Cassava,1998,100000,591,62397,17.52,3,0
Argentina,Maize,1998,60780,591,62397,17.23,3,1
Argentina,Maize,1998,60780,591,62397,17.52,3,1
Argentina,Potatoes,1998,293744,591,62397,17.23,3,2
Argentina,Potatoes,1998,293744,591,62397,17.52,3,2
Argentina,Sorghum,1998,48105,591,62397,17.23,3,3
Argentina,Sorghum,1998,48105,591,62397,17.52,3,3
Argentina,Soybeans,1998,26937,591,62397,17.23,3,4
Argentina,Soybeans,1998,26937,591,62397,17.52,3,4
Argentina,Sweet potatoes,1998,175055,591,62397,17.23,3,5
Argentina,Sweet potatoes,1998,175055,591,62397,17.52,3,5
Argentina,Wheat,1998,26088,591,62397,17.23,3,6
Argentina,Wheat,1998,26088,591,62397,17.52,3,6
Argentina,Cassava,1999,100000,591,62831.39,17.15,3,0
Argentina,Cassava,1999,100000,591,62831.39,17.71,3,0
Argentina,Maize,1999,53702,591,62831.39,17.15,3,1
Argentina,Maize,1999,53702,591,62831.39,17.71,3,1
Argentina,Potatoes,1999,238938,591,62831.39,17.15,3,2
Argentina,Potatoes,1999,238938,591,62831.39,17.71,3,2
Argentina,Sorghum,1999,43845,591,62831.39,17.15,3,3
Argentina,Sorghum,1999,43845,591,62831.39,17.71,3,3
Argentina,Soybeans,1999,24450,591,62831.39,17.15,3,4
Argentina,Soybeans,1999,24450,591,62831.39,17.71,3,4
Argentina,Sweet potatoes,1999,143991,591,62831.39,17.15,3,5
Argentina,Sweet potatoes,1999,143991,591,62831.39,17.71,3,5
